Gene	SCZ_p	SCZ_q	BPD_p	BPD_q	Vagas_PGC_SCZ_p	Vagas_PGC_BPD_p	t_product_q
ADCY6	3.09E-02	2.79E-01	2.35E-04	6.67E-02	2.26E-01	3.81E-05	3.64E-02
ANK1	2.61E-03	1.41E-01	8.49E-03	1.73E-01	1.83E-01	1.76E-01	3.64E-02
CTSK	4.08E-03	1.52E-01	5.81E-03	1.54E-01	3.48E-01	8.36E-01	3.64E-02
LAMB3	2.60E-03	1.41E-01	7.55E-03	1.65E-01	6.22E-01	7.47E-01	3.64E-02
SMAD4	5.55E-03	1.65E-01	3.28E-03	1.36E-01	1.39E-01	9.84E-02	3.64E-02
MOCS1	1.36E-02	2.12E-01	1.22E-03	1.07E-01	6.56E-01	2.58E-01	3.64E-02
P2RX7	1.04E-03	1.18E-01	1.59E-02	1.97E-01	4.77E-01	7.94E-01	3.64E-02
TBL1X	1.13E-03	1.19E-01	1.49E-02	1.94E-01	NA	NA	3.64E-02
GRHPR	1.62E-02	2.26E-01	8.85E-04	9.44E-02	2.83E-04	5.27E-01	3.64E-02
RNF144A	2.20E-04	8.60E-02	2.95E-02	2.40E-01	8.86E-01	3.73E-01	3.64E-02
TXNIP	3.45E-03	1.48E-01	6.10E-03	1.54E-01	2.65E-01	1.05E-01	3.64E-02
ZNF266	4.41E-03	1.54E-01	4.36E-03	1.45E-01	7.47E-01	8.69E-01	3.64E-02
NDUFAF4	3.86E-02	2.91E-01	1.56E-04	5.64E-02	NA	NA	3.64E-02
SYTL2	4.51E-04	9.26E-02	2.32E-02	2.21E-01	1.81E-01	2.08E-01	3.64E-02
MAVS	1.63E-03	1.30E-01	9.87E-03	1.77E-01	NA	NA	3.64E-02
ALPK3	1.73E-02	2.30E-01	8.22E-04	9.17E-02	1.89E-01	6.96E-02	3.64E-02
FAM38B	1.74E-03	1.31E-01	1.17E-02	1.80E-01	2.55E-01	8.52E-01	3.64E-02
PLXNA4	5.52E-03	1.65E-01	3.71E-03	1.39E-01	1.40E-01	7.54E-01	3.64E-02
SLAIN1	8.73E-04	1.12E-01	1.58E-02	1.97E-01	4.92E-02	6.99E-01	3.64E-02
C22orf39	3.95E-03	1.51E-01	4.74E-03	1.46E-01	1.01E-01	9.99E-01	3.64E-02
LOC145820	7.84E-03	1.83E-01	2.98E-03	1.32E-01	NA	NA	3.64E-02
SPDYE8P	5.03E-05	4.89E-02	4.94E-02	2.89E-01	NA	NA	3.64E-02
FLJ45340	1.91E-02	2.37E-01	6.54E-04	8.49E-02	NA	NA	3.64E-02
IQSEC3	9.73E-03	1.97E-01	2.28E-03	1.24E-01	5.32E-01	2.93E-01	3.64E-02
LOC100129716	3.32E-03	1.48E-01	5.70E-03	1.53E-01	NA	NA	3.64E-02
CALR	7.54E-04	1.01E-01	2.27E-02	2.21E-01	4.81E-02	1.18E-01	4.04E-02
ZBTB48	2.85E-02	2.73E-01	3.91E-04	7.91E-02	3.81E-02	5.71E-01	4.04E-02
LETM1	2.41E-02	2.58E-01	6.39E-04	8.49E-02	3.80E-01	8.31E-01	4.04E-02
MGST3	7.81E-04	1.04E-01	2.29E-02	2.21E-01	7.50E-01	1.14E-01	4.04E-02
PAK3	3.27E-02	2.81E-01	3.06E-04	7.05E-02	NA	NA	4.04E-02
PPIB	3.85E-02	2.91E-01	1.63E-04	5.74E-02	1.37E-02	6.71E-01	4.04E-02
