Gene	SCZ_p	SCZ_q	BPD_p	BPD_q	Vagas_PGC_SCZ_p	Vagas_PGC_BPD_p	t_product_q
CDKN2AIPNL	2.90E-03	1.42E-01	8.37E-02	3.56E-01	5.94E-01	1.47E-01	9.18E-02
LOC202181	4.18E-02	3.01E-01	1.13E-02	1.80E-01	NA	NA	9.18E-02
DAG1	1.71E-02	2.29E-01	3.14E-02	2.45E-01	7.61E-02	8.83E-02	9.24E-02
HIP1R	3.24E-02	2.81E-01	1.59E-02	1.97E-01	3.14E-02	5.63E-01	9.24E-02
MATR3	2.81E-02	2.73E-01	1.90E-02	2.06E-01	3.39E-03	4.74E-02	9.24E-02
ZNF292	5.20E-03	1.63E-01	6.70E-02	3.25E-01	3.36E-01	5.24E-01	9.24E-02
PYCR2	8.69E-02	3.94E-01	2.78E-03	1.30E-01	1.22E-01	4.42E-02	9.24E-02
NRIP3	5.87E-02	3.37E-01	6.58E-03	1.60E-01	6.26E-01	2.33E-01	9.24E-02
PHACTR4	1.16E-02	2.06E-01	4.21E-02	2.74E-01	6.71E-01	6.80E-01	9.24E-02
KIAA0889	8.64E-03	1.87E-01	5.05E-02	2.90E-01	NA	NA	9.24E-02
FBXO41	1.23E-02	2.07E-01	3.95E-02	2.67E-01	3.29E-01	3.05E-01	9.24E-02
ARID2	2.48E-03	1.40E-01	9.09E-02	3.69E-01	4.54E-01	5.01E-01	9.24E-02
APC	3.81E-02	2.90E-01	1.37E-02	1.89E-01	3.88E-01	8.61E-01	9.26E-02
CCBL1	1.11E-01	4.30E-01	1.49E-03	1.14E-01	5.35E-02	4.92E-01	9.26E-02
CS	1.14E-02	2.06E-01	4.35E-02	2.77E-01	3.87E-01	5.60E-01	9.26E-02
MYO9B	1.56E-02	2.25E-01	3.39E-02	2.50E-01	9.65E-01	4.77E-01	9.26E-02
RBP1	1.36E-01	4.64E-01	7.25E-04	8.49E-02	4.78E-01	7.73E-01	9.26E-02
TRAPPC2	1.20E-02	2.07E-01	4.18E-02	2.73E-01	NA	NA	9.26E-02
SYNGR2	3.96E-02	2.95E-01	1.27E-02	1.85E-01	3.04E-01	4.80E-01	9.26E-02
SERTAD2	6.60E-02	3.53E-01	5.48E-03	1.51E-01	1.25E-02	8.19E-02	9.26E-02
KIAA0020	1.63E-02	2.26E-01	3.30E-02	2.48E-01	5.86E-01	3.41E-01	9.26E-02
NACAD	1.24E-02	2.07E-01	4.09E-02	2.71E-01	NA	NA	9.26E-02
AGXT2L1	2.80E-02	2.73E-01	1.96E-02	2.08E-01	6.02E-01	5.31E-01	9.26E-02
PPCS	2.14E-03	1.33E-01	9.70E-02	3.79E-01	5.90E-01	7.05E-01	9.26E-02
ISCA1	1.35E-01	4.64E-01	7.20E-04	8.49E-02	1.72E-01	3.05E-01	9.26E-02
TPTE2P1	8.47E-03	1.87E-01	5.23E-02	2.94E-01	NA	NA	9.26E-02
MAOA	3.46E-02	2.83E-01	1.58E-02	1.97E-01	NA	NA	9.33E-02
MX1	3.35E-02	2.81E-01	1.67E-02	1.99E-01	4.87E-01	1.85E-02	9.33E-02
RAB2A	3.80E-02	2.90E-01	1.39E-02	1.91E-01	3.95E-02	5.97E-01	9.33E-02
TCEB1	2.39E-02	2.58E-01	2.42E-02	2.24E-01	8.80E-01	7.83E-01	9.33E-02
OLIG2	3.06E-03	1.46E-01	8.72E-02	3.63E-01	9.44E-01	6.48E-01	9.33E-02
LPIN1	6.20E-02	3.43E-01	6.36E-03	1.57E-01	4.33E-01	1.38E-01	9.33E-02
ANKRD16	1.18E-02	2.06E-01	4.32E-02	2.76E-01	8.63E-01	3.26E-01	9.33E-02
LRSAM1	1.01E-01	4.16E-01	1.97E-03	1.17E-01	6.05E-02	1.18E-01	9.33E-02
CHADL	2.75E-02	2.70E-01	2.09E-02	2.15E-01	NA	NA	9.33E-02
BEND6	2.48E-02	2.60E-01	2.32E-02	2.21E-01	NA	NA	9.33E-02
EHD1	4.07E-02	2.99E-01	1.33E-02	1.87E-01	2.44E-02	3.04E-01	9.41E-02
ECD	3.11E-02	2.79E-01	1.85E-02	2.04E-01	1.17E-01	7.81E-01	9.41E-02
CIZ1	1.79E-01	5.16E-01	2.10E-04	6.47E-02	6.44E-01	6.05E-01	9.41E-02
RBM38	8.52E-02	3.91E-01	3.38E-03	1.37E-01	4.13E-01	3.20E-01	9.41E-02
KCNQ5	9.43E-02	4.04E-01	2.59E-03	1.28E-01	5.81E-01	1.72E-01	9.41E-02
PPP1R14C	6.67E-02	3.55E-01	5.87E-03	1.54E-01	6.36E-01	3.34E-01	9.41E-02
ZSCAN29	1.94E-02	2.38E-01	2.96E-02	2.40E-01	9.11E-03	8.96E-01	9.41E-02
RPL19P12	2.35E-02	2.56E-01	2.53E-02	2.27E-01	NA	NA	9.41E-02
LRP5	1.20E-02	2.07E-01	4.50E-02	2.79E-01	5.38E-03	1.50E-01	9.50E-02
PKNOX1	3.08E-02	2.79E-01	1.94E-02	2.07E-01	1.89E-01	4.63E-01	9.50E-02
PLCG1	2.89E-02	2.74E-01	2.07E-02	2.14E-01	4.65E-02	7.72E-02	9.50E-02
RPE	1.57E-01	4.90E-01	4.38E-04	7.91E-02	6.47E-02	8.98E-01	9.50E-02
TPCN1	1.30E-01	4.57E-01	9.95E-04	9.77E-02	6.18E-01	3.67E-01	9.50E-02
DDIT4	1.76E-02	2.31E-01	3.34E-02	2.50E-01	2.59E-01	3.24E-01	9.50E-02
SCAND3	1.84E-02	2.34E-01	3.23E-02	2.47E-01	4.91E-05	2.99E-01	9.50E-02
C1orf204	3.11E-02	2.79E-01	1.94E-02	2.07E-01	NA	NA	9.50E-02
DUSP3	1.09E-01	4.27E-01	1.90E-03	1.17E-01	8.48E-01	5.91E-01	9.59E-02
PLIN1	2.52E-02	2.62E-01	2.44E-02	2.24E-01	NA	NA	9.59E-02
NAPG	1.14E-01	4.35E-01	1.65E-03	1.14E-01	3.77E-01	9.83E-01	9.59E-02
TMEM100	8.22E-03	1.87E-01	5.79E-02	3.06E-01	2.51E-01	6.74E-01	9.59E-02
TMCO6	3.78E-03	1.49E-01	8.39E-02	3.56E-01	4.34E-02	6.71E-02	9.59E-02
NIPA1	4.98E-02	3.19E-01	1.05E-02	1.78E-01	6.51E-01	4.39E-01	9.59E-02
ATXN7L3B	5.08E-02	3.22E-01	1.00E-02	1.77E-01	NA	NA	9.59E-02
EPS8	3.03E-02	2.77E-01	2.10E-02	2.15E-01	6.28E-01	8.38E-01	9.66E-02
MDK	9.18E-02	4.00E-01	3.18E-03	1.35E-01	1.67E-03	7.36E-01	9.66E-02
PRCP	5.48E-02	3.30E-01	9.23E-03	1.75E-01	7.88E-01	3.61E-01	9.66E-02
TTF1	2.19E-02	2.48E-01	2.89E-02	2.38E-01	8.81E-01	2.26E-01	9.66E-02
INPP5F	2.39E-02	2.58E-01	2.64E-02	2.31E-01	5.48E-01	3.86E-01	9.66E-02
PANX1	3.54E-02	2.84E-01	1.74E-02	2.02E-01	3.92E-01	6.27E-01	9.66E-02
OPLAH	5.64E-02	3.33E-01	8.94E-03	1.73E-01	8.73E-01	3.42E-01	9.66E-02
SYTL5	2.26E-01	5.64E-01	5.90E-05	5.22E-02	NA	NA	9.66E-02
IP6K3	5.49E-03	1.64E-01	7.22E-02	3.35E-01	NA	NA	9.66E-02
GABRG1	3.80E-02	2.90E-01	1.63E-02	1.98E-01	1.77E-01	6.41E-01	9.71E-02
NEK3	3.36E-03	1.48E-01	9.08E-02	3.69E-01	4.90E-01	1.73E-01	9.71E-02
MKKS	3.20E-02	2.80E-01	2.01E-02	2.11E-01	3.41E-01	2.84E-01	9.71E-02
MLEC	3.17E-02	2.80E-01	2.04E-02	2.12E-01	NA	NA	9.71E-02
RIMBP2	6.46E-02	3.49E-01	7.06E-03	1.61E-01	2.41E-01	3.09E-02	9.71E-02
R3HDM1	1.88E-02	2.36E-01	3.38E-02	2.50E-01	5.92E-01	7.01E-02	9.71E-02
BCL11A	4.91E-03	1.60E-01	7.78E-02	3.46E-01	8.93E-02	4.72E-02	9.71E-02
SEPN1	3.48E-02	2.83E-01	1.80E-02	2.04E-01	1.14E-01	9.43E-01	9.71E-02
ZNF574	7.46E-02	3.71E-01	5.26E-03	1.49E-01	3.41E-01	7.95E-01	9.71E-02
VSTM2A	4.91E-02	3.18E-01	1.15E-02	1.80E-01	3.62E-01	7.84E-02	9.71E-02
CDHR3	2.68E-02	2.69E-01	2.46E-02	2.25E-01	NA	NA	9.71E-02
GNA12	2.69E-02	2.70E-01	2.49E-02	2.25E-01	2.99E-01	1.02E-01	9.75E-02
KLRD1	5.59E-03	1.66E-01	7.36E-02	3.38E-01	1.89E-01	1.88E-01	9.75E-02
MYBL1	2.79E-02	2.72E-01	2.37E-02	2.22E-01	8.25E-01	1.42E-01	9.75E-02
NAP1L3	2.99E-02	2.77E-01	2.22E-02	2.20E-01	NA	NA	9.75E-02
PPM1A	7.49E-02	3.72E-01	5.54E-03	1.52E-01	1.20E-02	3.27E-02	9.75E-02
HEPH	4.06E-02	2.98E-01	1.53E-02	1.96E-01	NA	NA	9.75E-02
LDLRAP1	1.89E-03	1.31E-01	1.13E-01	4.07E-01	3.39E-01	8.27E-01	9.75E-02
SNX10	7.22E-02	3.67E-01	5.99E-03	1.54E-01	3.18E-01	4.23E-01	9.75E-02
NOL12	3.30E-02	2.81E-01	1.99E-02	2.11E-01	4.23E-01	5.54E-02	9.75E-02
GALM	5.89E-02	3.38E-01	8.68E-03	1.73E-01	1.87E-02	6.44E-01	9.75E-02
ZNF578	6.46E-03	1.75E-01	6.94E-02	3.31E-01	3.58E-01	9.92E-01	9.75E-02
EMX2	5.63E-02	3.33E-01	9.55E-03	1.76E-01	3.77E-01	2.26E-01	9.81E-02
GRSF1	7.52E-02	3.72E-01	5.64E-03	1.53E-01	7.09E-01	7.91E-01	9.81E-02
LAMB1	6.10E-02	3.42E-01	8.34E-03	1.73E-01	4.32E-01	5.62E-01	9.81E-02
PLLP	9.66E-03	1.96E-01	5.65E-02	3.03E-01	1.87E-01	2.97E-01	9.81E-02
GTDC1	4.78E-02	3.15E-01	1.25E-02	1.85E-01	2.80E-02	4.66E-01	9.81E-02
RASSF4	4.43E-02	3.06E-01	1.38E-02	1.91E-01	7.05E-01	6.36E-01	9.81E-02
SYT12	5.61E-03	1.66E-01	7.47E-02	3.40E-01	1.79E-01	6.78E-04	9.81E-02
SNX18	3.02E-03	1.46E-01	9.77E-02	3.79E-01	8.81E-01	7.79E-01	9.81E-02
NRBP2	5.79E-03	1.67E-01	7.39E-02	3.38E-01	2.95E-04	6.55E-02	9.81E-02
STAT2	4.12E-02	3.00E-01	1.57E-02	1.97E-01	2.86E-01	5.25E-01	9.92E-02
ACAA2	5.47E-03	1.64E-01	7.75E-02	3.46E-01	3.81E-02	3.00E-01	9.92E-02
RNF130	3.63E-03	1.48E-01	9.20E-02	3.71E-01	9.09E-02	9.16E-01	9.92E-02
MOBKL2C	3.27E-02	2.81E-01	2.13E-02	2.16E-01	8.43E-01	8.15E-01	9.92E-02
RAB15	4.57E-03	1.57E-01	8.34E-02	3.55E-01	8.39E-01	3.45E-01	9.92E-02
CD9	9.40E-03	1.93E-01	5.96E-02	3.10E-01	7.06E-01	3.03E-02	9.96E-02
INPP5B	6.03E-03	1.71E-01	7.51E-02	3.41E-01	9.81E-03	5.14E-01	9.96E-02
STYX	2.89E-02	2.74E-01	2.50E-02	2.25E-01	7.52E-01	1.95E-01	9.96E-02
TGFA	2.61E-02	2.66E-01	2.74E-02	2.34E-01	1.46E-02	3.67E-02	9.96E-02
VIP	1.32E-01	4.60E-01	1.24E-03	1.07E-01	2.38E-01	1.41E-01	9.96E-02
LRCH1	1.35E-02	2.12E-01	4.69E-02	2.83E-01	5.16E-01	9.23E-01	9.96E-02
RHOBTB2	1.82E-03	1.31E-01	1.19E-01	4.16E-01	6.39E-02	1.95E-01	9.96E-02
SIDT2	2.22E-02	2.49E-01	3.20E-02	2.46E-01	6.31E-01	3.98E-03	9.96E-02
LMBR1	8.91E-02	3.96E-01	4.08E-03	1.44E-01	1.67E-01	2.45E-02	9.96E-02
C1orf85	4.36E-02	3.05E-01	1.51E-02	1.95E-01	4.13E-01	6.38E-01	9.96E-02
C6orf124	4.16E-02	3.01E-01	1.62E-02	1.98E-01	3.11E-01	NA	9.96E-02
